Username,Tweets Count,Following Count,Followers Count,Joined date,Birthday,Location,Website,Description,Lists subscribed to,Topics Followed
elonmusk,18.5K,114,99.8M,June 2009,,,,,[],"['Artificial intelligence', 'Computer programming', 'Cybersecurity', 'Dogecoin cryptocurrency', 'Elon Musk', 'Gaming', 'Machine learning', 'Physics', 'Science', 'Startups', 'Tech news', 'Technology']"
levelsio,98.2K,467,147.7K,July 2013,"$2.76M  $3M/y (+86%), 11M MAU, 152M req/mo, 99.285% uptime (30d), last error 11h ago, margin 86.2%, customer rating 90%, inflation 17%",,https://t.co/zSUDTPRbi9,"http://NomadList.com
http://remoteOK.com
http://HoodMaps.com
http://readMAKE.com
http://AirlineList.com
http://ideasAI.com
http://QRmn.co
http://InflationChart.com
http://rebase.co

#NoCalendar #async","['Go on their podcast', 'Makers Building in Public', 'Web3 Makers in Public']","['$BTC', '$TSLA', 'Agriculture', 'Bitcoin cryptocurrency', 'Cooking', 'Data science', 'Databases', 'Drawing & illustration', 'Elon Musk', 'Gaming', 'Geography', 'Interior design', 'Investing', 'Joe Rogan', 'Machine learning', 'Open source', 'Photography', 'Psychology', 'Tech news', 'Travel', 'Web development', 'World news']"
MehulFanawala,36.7K,"3,434",12.4K,February 2010,Your Business + TCC Brain = ,Entrepreneur,https://t.co/CCqPfzvBKt,"Parent of http://TheClueless.Company • A Virtual CMO, CBO, & CCO for B2B SaaS & D2C Brands • 14+ Years in Sales & Support • Follow-up Ninja • Meme Man • Father of 2 ","[""Founders And CEO's"", 'General SaaS', 'Interactive Tweeple', 'Streak Participants', 'Surat Founders']","['Based on your likes', 'Business & finance', 'Business media', 'Business personalities', 'Digital Marketing', 'Entrepreneurship', 'Famous quotes', 'FinTech', 'Funny Tweets', 'Inspirational quotes', 'Marketing', 'Productivity', 'SEO', 'Shark Tank India', 'Smart technology', 'Social media', 'Stanford University', 'Startups', 'Tech personalities', 'Technology', 'Viral Tweets']"
iuditg,24.4K,"9,080",41.2K,November 2009,"Mumbai, India",Entrepreneur,https://t.co/ZEvBLfCgbV,"I talk about #saas, #growth & #finance • 
@ManUtd
  • Building 
@pitchgroundhq
 @firstsalesio
 • Angel Investor • 30 Days Growth Hack Newsletter","['India focused VCs', 'Indie Makers & Hackers', 'SaaS Founders in India', 'Ukraine: latest news']","['Bitcoin cryptocurrency', 'FinTech', 'Investing', 'Manchester United', 'Marketing', 'Premier League', 'Shark Tank', 'Startups', 'UEFA Champions League', 'Venture capital']"
dagorenouf,58.5K,345,35.8K,May 2018,Born May 12,Logo for your startup in 5min→,https://t.co/MapNsv6CWU,"Left a high-paid software job to bootstrap http://logology.co with my wife , my father in law doesn’t approve. I create 1 meme per day about the startup journey.",[],"['Business & finance', 'Open source', 'Startups']"
tibo_maker,17.2K,"2,470",33.1K,January 2012,,,https://t.co/vjrlCVS086,"Building http://tweethunter.io & http://taplio.com  sharing all my learnings about startups & audience building  Sold 2 startups, crashed way more ","['Building in Public', 'coronavirus', 'Developers to follow', 'Engagement (LIKES) GROUP', 'IndieHackers', 'Launchables', 'LIKE/3-Comments/1-RT CREW', 'Social Media Experts', 'StartupsMentor', 'Tech Optimism', 'Twitter growth challenge', 'Twitter Growth Challenge', 'Ukraine: latest news']","['SEO', 'Social media']"
SergiiKirianov,29.5K,"1,393","9,577",Today is their birthday!,"Oporto, Portugal",Science & Technology,https://t.co/ItWC7McQ7F,"JavaScript Messiah ~  OSS DevRel at 
@jestpreview
 ~ Live in Porto ~ Одесса  in my heart  Open for cooperation and opportunities DMs open","['Coding Homies', 'Forrest Friend File', 'Friends', 'Hate you little less', 'People I hate', 'Tech Twitter All-stars ']",['Computer programming']
pradologue,15.9K,236,21K,October 2014,,Bangalore,https://t.co/Ri0lhfjJTM,"I share interesting ideas & stories from non-fiction books, the internet & life  | ""The Story Guy""   | Simplifying Web3 & other complex topics.","['Cryonics', 'Interesting minds ', 'Interesting Web3 minds', 'Interesting web3 minds ', 'Longevity', 'War']","['Biographies & memoirs', 'Online education', 'Philosophy', 'Psychology']"
csaba_kissi,42.9K,739,92.3K,February 2016,,Visit my web ,https://t.co/9cgbBCLn8t,"Founder 
@MentorWebDev
.
Order my SEO eBook - 20% off: http://bit.ly/seo-tactics-2022…","['IndieHackers', 'LTDs', 'Web developers']","['Gaming', 'Startups', 'Web development']"
amrith,58.8K,"2,924",10.5K,December 2010,,"Paris, France",,"burberry trench enthusiast | 
@sandoinu
 | 
@alongsidefi
 | he/him","['#SheInspiresMe', '#WomenInTech', 'Make your day', 'Best of VC', 'Crush List', 'Design', 'designers that slap', 'Diversify Your Feed', 'feathrd', 'Gen Z ', 'Internet ppl', 'My Top 25 Tech Reporters', 'news', 'Product Hunt Makers', 'Social/Creative/Ad/Tech', 'The Office', ""Top AngelList VC's"", 'Ukraine: latest news', 'Web3 Leaders', 'WIP ', 'WOC Design Leaders']","['$ETH', '$TWTR', 'Apple', 'Arts & culture news', 'Beyoncé', 'Billie Eilish', 'Birdwatching', 'Black Lives Matter', 'Cats', 'Cooking', 'Daft Punk', 'Dogs', 'Drake', 'Ethereum cryptocurrency', 'Europe travel', 'FinTech', 'Food', 'Food inspiration', 'France travel', 'Funny Tweets', 'Jay Z', 'Kobe Bryant', 'Language learning', 'Marques Brownlee', 'Mindful wellness', 'Museums & institutions', 'NBA', 'NFTs', 'National parks', 'Nature', 'New York City', 'Nintendo', 'Pets', 'Psychology', 'Rihanna', 'Seasonal cooking', 'Smart technology', 'Social media', 'Space', 'SpongeBob SquarePants', 'Startups', 'Street art', 'Tech news', 'Technology', 'The Lord of the Rings', 'The Office']"
TimStodz,10.7K,368,11.4K,January 2016,,become a better entrepreneur ,https://t.co/9bhwZJ3Z79,"""You are not your fucking khakis."" 

I’m the CEO of Stodzy Inc, the owner of Sober Nation, and partner in Copyblogger.","['Bootstrapping', 'Ukraine War']","['Cornell University', 'Investing', 'Mindful wellness', 'Technology']"
OneJKMolina,41.6K,509,119.6K,August 2011,Land Twitter Clients (Free):,Writer,https://t.co/YpUr8l1OXM,"Built http://tweethunter.io to $1MM ARR. Shooting for $10MM. I make agency owners an extra $200,000 a year from Twitter or they don't pay: http://jkmolina.com/#two","[""JK's Friends"", 'SaaS - Startup - Marketin', 'Twitter Debut']","['Architecture', 'The Joe Rogan Experience', 'Viral Tweets']"
CGTNOfficial,228.8K,74,13.3M,January 2013,,"Beijing, China",https://t.co/YSOcIymQSt,CGTN is an international media organization. It aims to provide global audiences with accurate and timely news coverage as well as rich audiovisual services.,['Chinese English Media'],"['Information security', 'Machine learning']"
johnrampton,37.7K,578.2K,1.2M,September 2009,"Salt Lake City, UT",Financial Services,https://t.co/3kezHJuvuN," Entrepreneur Magazine  Top Marketing Leader 
 Founder  
@Calendar
 & 
@Due
 
 Nations #1 Connector","['#AdobeInsiders Official', '#WebSummit', 'Affiliate Summit 2016', 'Brands', 'Interesting', 'My Peeps', 'Sydstart 2015', 'The Amazings', 'UnGagged 2015']",[]
BrianFeroldi,19.4K,627,298.3K,July 2009,,My Book ➜,https://t.co/qgEA4wb1cg,"Mission: To Spread Financial Wellness | I tweet about money, investing, and self-improvement | Get My Investing Checklist ➜ http://brianferoldi.com/checklist","['Act on Climate', 'Investors', 'MSL Virginia']","['Augmented reality', 'Beyoncé', 'Bill Gates', 'Business & finance', 'Business news', 'Elon Musk', 'Environmentalism', 'FinTech', 'Funny Tweets', 'Investing', 'On this day', 'Science', 'Technology']"
TheJackForge,53.5K,"1,613",125.6K,April 2020,,Canada,https://t.co/22Uzu3vr8C,"The Outlaw of Tech.  |

Software Developer | Automation | Crypto Bro | 

Building Products for Creators (OnlyFans, Twitch, Instagram, TikTok) ","['Canadian Devs Eh ', 'Community Industry Folks', 'Developer DAO', ""Jack's Favorite Devs""]",[]
